Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,184,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,158,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,55760,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUL,JUL,9229,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUN,JUN,7747,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAY,MAY,8391,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,APR,APR,18053,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAR,MAR,3865,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,1557,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,1584,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,2310,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,1782,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,1242,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,50142,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUL,JUL,6891,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,5490,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,5907,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,11588,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,4833,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,2768,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,3016,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,3782,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,3447,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,2420,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,912575,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUL,JUL,108936,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUN,JUN,100678,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAY,MAY,120901,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,105370,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,101589,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,68344,%many-values%,all,Title 8
