Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2022,2022,AUG,AUG,77,all,all,Accompanied Minors,Title 8
2020,2020,JUL,JUL,7,all,all,Accompanied Minors,Title 8
2021,2021,JUL,JUL,28,all,all,Accompanied Minors,Title 8
2022,2022,JUL,JUL,76,all,all,Accompanied Minors,Title 8
2020,2020,JUN,JUN,6,all,all,Accompanied Minors,Title 8
2021,2021,JUN,JUN,41,all,all,Accompanied Minors,Title 8
2022,2022,JUN,JUN,60,all,all,Accompanied Minors,Title 8
2020,2020,MAY,MAY,7,all,all,Accompanied Minors,Title 8
2021,2021,MAY,MAY,40,all,all,Accompanied Minors,Title 8
2022,2022,MAY,MAY,39,all,all,Accompanied Minors,Title 8
2020,2020,APR,APR,4,all,all,Accompanied Minors,Title 8
2021,2021,APR,APR,42,all,all,Accompanied Minors,Title 8
2022,2022,APR,APR,80,all,all,Accompanied Minors,Title 8
2020,2020,MAR,MAR,39,all,all,Accompanied Minors,Title 8
2021,2021,MAR,MAR,62,all,all,Accompanied Minors,Title 8
2022,2022,MAR,MAR,49,all,all,Accompanied Minors,Title 8
2020,2020,FEB,FEB,38,all,all,Accompanied Minors,Title 8
2021,2021,FEB,FEB,55,all,all,Accompanied Minors,Title 8
2022,2022,FEB,FEB,44,all,all,Accompanied Minors,Title 8
2020,2020,JAN,JAN,33,all,all,Accompanied Minors,Title 8
2021,2021,JAN,JAN,19,all,all,Accompanied Minors,Title 8
2022,2022,JAN,JAN,65,all,all,Accompanied Minors,Title 8
2020,2020,DEC,DEC,61,all,all,Accompanied Minors,Title 8
2021,2021,DEC,DEC,23,all,all,Accompanied Minors,Title 8
2022,2022,DEC,DEC,74,all,all,Accompanied Minors,Title 8
2023 (FYTD),2023 (FYTD),DEC,DEC,70,all,all,Accompanied Minors,Title 8
2020,2020,NOV,NOV,53,all,all,Accompanied Minors,Title 8
2021,2021,NOV,NOV,7,all,all,Accompanied Minors,Title 8
2022,2022,NOV,NOV,80,all,all,Accompanied Minors,Title 8
2023 (FYTD),2023 (FYTD),NOV,NOV,67,all,all,Accompanied Minors,Title 8
2020,2020,OCT,OCT,102,all,all,Accompanied Minors,Title 8
2021,2021,OCT,OCT,11,all,all,Accompanied Minors,Title 8
2022,2022,OCT,OCT,68,all,all,Accompanied Minors,Title 8
2023 (FYTD),2023 (FYTD),OCT,OCT,53,all,all,Accompanied Minors,Title 8
2020,2020,SEP,SEP,80,all,all,Accompanied Minors,Title 42
2021,2021,SEP,SEP,162,all,all,Accompanied Minors,Title 42
2022,2022,SEP,SEP,134,all,all,Accompanied Minors,Title 42
2020,2020,AUG,AUG,81,all,all,Accompanied Minors,Title 42
2021,2021,AUG,AUG,277,all,all,Accompanied Minors,Title 42
2022,2022,AUG,AUG,218,all,all,Accompanied Minors,Title 42
2020,2020,JUL,JUL,61,all,all,Accompanied Minors,Title 42
2021,2021,JUL,JUL,277,all,all,Accompanied Minors,Title 42
2022,2022,JUL,JUL,196,all,all,Accompanied Minors,Title 42
2020,2020,JUN,JUN,50,all,all,Accompanied Minors,Title 42
2021,2021,JUN,JUN,128,all,all,Accompanied Minors,Title 42
2022,2022,JUN,JUN,110,all,all,Accompanied Minors,Title 42
2020,2020,MAY,MAY,23,all,all,Accompanied Minors,Title 42
2021,2021,MAY,MAY,115,all,all,Accompanied Minors,Title 42
2022,2022,MAY,MAY,196,all,all,Accompanied Minors,Title 42
2020,2020,APR,APR,14,all,all,Accompanied Minors,Title 42
2021,2021,APR,APR,92,all,all,Accompanied Minors,Title 42
2022,2022,APR,APR,205,all,all,Accompanied Minors,Title 42
2020,2020,MAR,MAR,1,all,all,Accompanied Minors,Title 42
2021,2021,MAR,MAR,97,all,all,Accompanied Minors,Title 42
2022,2022,MAR,MAR,207,all,all,Accompanied Minors,Title 42
2021,2021,FEB,FEB,90,all,all,Accompanied Minors,Title 42
2022,2022,FEB,FEB,185,all,all,Accompanied Minors,Title 42
2021,2021,JAN,JAN,86,all,all,Accompanied Minors,Title 42
2022,2022,JAN,JAN,174,all,all,Accompanied Minors,Title 42
2021,2021,DEC,DEC,64,all,all,Accompanied Minors,Title 42
2022,2022,DEC,DEC,231,all,all,Accompanied Minors,Title 42
2023 (FYTD),2023 (FYTD),DEC,DEC,223,all,all,Accompanied Minors,Title 42
2021,2021,NOV,NOV,82,all,all,Accompanied Minors,Title 42
2022,2022,NOV,NOV,223,all,all,Accompanied Minors,Title 42
2023 (FYTD),2023 (FYTD),NOV,NOV,159,all,all,Accompanied Minors,Title 42
2021,2021,OCT,OCT,101,all,all,Accompanied Minors,Title 42
2022,2022,OCT,OCT,119,all,all,Accompanied Minors,Title 42
