Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2019,2019,OCT,OCT,17321,Guatemala,U.S. Border Patrol,all,Title 8
2020,2020,OCT,OCT,5788,Guatemala,U.S. Border Patrol,all,Title 8
2021,2021,OCT,OCT,926,Guatemala,U.S. Border Patrol,all,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,6017,Guatemala,U.S. Border Patrol,all,Title 8
2020,2020,SEP,SEP,5085,Guatemala,U.S. Border Patrol,all,Title 42
2021,2021,SEP,SEP,15665,Guatemala,U.S. Border Patrol,all,Title 42
2020,2020,AUG,AUG,3739,Guatemala,U.S. Border Patrol,all,Title 42
2021,2021,AUG,AUG,17510,Guatemala,U.S. Border Patrol,all,Title 42
2020,2020,JUL,JUL,2180,Guatemala,U.S. Border Patrol,all,Title 42
2021,2021,JUL,JUL,14704,Guatemala,U.S. Border Patrol,all,Title 42
2020,2020,JUN,JUN,934,Guatemala,U.S. Border Patrol,all,Title 42
2021,2021,JUN,JUN,16921,Guatemala,U.S. Border Patrol,all,Title 42
2020,2020,MAY,MAY,646,Guatemala,U.S. Border Patrol,all,Title 42
2021,2021,MAY,MAY,17197,Guatemala,U.S. Border Patrol,all,Title 42
2020,2020,APR,APR,1286,Guatemala,U.S. Border Patrol,all,Title 42
2021,2021,APR,APR,19188,Guatemala,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),APR,APR,12131,Guatemala,U.S. Border Patrol,all,Title 42
2020,2020,MAR,MAR,1077,Guatemala,U.S. Border Patrol,all,Title 42
2021,2021,MAR,MAR,20282,Guatemala,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),MAR,MAR,15010,Guatemala,U.S. Border Patrol,all,Title 42
2021,2021,FEB,FEB,13419,Guatemala,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),FEB,FEB,12575,Guatemala,U.S. Border Patrol,all,Title 42
2021,2021,JAN,JAN,10548,Guatemala,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),JAN,JAN,10125,Guatemala,U.S. Border Patrol,all,Title 42
2021,2021,DEC,DEC,10438,Guatemala,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),DEC,DEC,14132,Guatemala,U.S. Border Patrol,all,Title 42
2021,2021,NOV,NOV,8984,Guatemala,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),NOV,NOV,13290,Guatemala,U.S. Border Patrol,all,Title 42
2021,2021,OCT,OCT,8299,Guatemala,U.S. Border Patrol,all,Title 42
2022 (FYTD),2022 (FYTD),OCT,OCT,13281,Guatemala,U.S. Border Patrol,all,Title 42
2019,2019,SEP,SEP,2771,Guatemala,U.S. Border Patrol,FMUA,all
2020,2020,SEP,SEP,505,Guatemala,U.S. Border Patrol,FMUA,all
2021,2021,SEP,SEP,7201,Guatemala,U.S. Border Patrol,FMUA,all
2019,2019,AUG,AUG,5329,Guatemala,U.S. Border Patrol,FMUA,all
2020,2020,AUG,AUG,471,Guatemala,U.S. Border Patrol,FMUA,all
2021,2021,AUG,AUG,17314,Guatemala,U.S. Border Patrol,FMUA,all
2019,2019,JUL,JUL,10039,Guatemala,U.S. Border Patrol,FMUA,all
2020,2020,JUL,JUL,222,Guatemala,U.S. Border Patrol,FMUA,all
2021,2021,JUL,JUL,15483,Guatemala,U.S. Border Patrol,FMUA,all
2019,2019,JUN,JUN,18036,Guatemala,U.S. Border Patrol,FMUA,all
2020,2020,JUN,JUN,121,Guatemala,U.S. Border Patrol,FMUA,all
2021,2021,JUN,JUN,7862,Guatemala,U.S. Border Patrol,FMUA,all
2019,2019,MAY,MAY,34164,Guatemala,U.S. Border Patrol,FMUA,all
2020,2020,MAY,MAY,94,Guatemala,U.S. Border Patrol,FMUA,all
2021,2021,MAY,MAY,5034,Guatemala,U.S. Border Patrol,FMUA,all
2019,2019,APR,APR,24336,Guatemala,U.S. Border Patrol,FMUA,all
2020,2020,APR,APR,79,Guatemala,U.S. Border Patrol,FMUA,all
2021,2021,APR,APR,8361,Guatemala,U.S. Border Patrol,FMUA,all
2022 (FYTD),2022 (FYTD),APR,APR,1844,Guatemala,U.S. Border Patrol,FMUA,all
2019,2019,MAR,MAR,23904,Guatemala,U.S. Border Patrol,FMUA,all
2020,2020,MAR,MAR,539,Guatemala,U.S. Border Patrol,FMUA,all
2021,2021,MAR,MAR,11680,Guatemala,U.S. Border Patrol,FMUA,all
2022 (FYTD),2022 (FYTD),MAR,MAR,2293,Guatemala,U.S. Border Patrol,FMUA,all
2019,2019,FEB,FEB,16004,Guatemala,U.S. Border Patrol,FMUA,all
2020,2020,FEB,FEB,899,Guatemala,U.S. Border Patrol,FMUA,all
2021,2021,FEB,FEB,3793,Guatemala,U.S. Border Patrol,FMUA,all
2022 (FYTD),2022 (FYTD),FEB,FEB,2157,Guatemala,U.S. Border Patrol,FMUA,all
2019,2019,JAN,JAN,12221,Guatemala,U.S. Border Patrol,FMUA,all
2020,2020,JAN,JAN,1036,Guatemala,U.S. Border Patrol,FMUA,all
2021,2021,JAN,JAN,972,Guatemala,U.S. Border Patrol,FMUA,all
2022 (FYTD),2022 (FYTD),JAN,JAN,1636,Guatemala,U.S. Border Patrol,FMUA,all
2019,2019,DEC,DEC,14748,Guatemala,U.S. Border Patrol,FMUA,all
2020,2020,DEC,DEC,2042,Guatemala,U.S. Border Patrol,FMUA,all
2021,2021,DEC,DEC,754,Guatemala,U.S. Border Patrol,FMUA,all
2022 (FYTD),2022 (FYTD),DEC,DEC,3121,Guatemala,U.S. Border Patrol,FMUA,all
2019,2019,NOV,NOV,12306,Guatemala,U.S. Border Patrol,FMUA,all
2020,2020,NOV,NOV,2371,Guatemala,U.S. Border Patrol,FMUA,all
2021,2021,NOV,NOV,888,Guatemala,U.S. Border Patrol,FMUA,all
2022 (FYTD),2022 (FYTD),NOV,NOV,3589,Guatemala,U.S. Border Patrol,FMUA,all
2019,2019,OCT,OCT,11375,Guatemala,U.S. Border Patrol,FMUA,all
2020,2020,OCT,OCT,2526,Guatemala,U.S. Border Patrol,FMUA,all
2021,2021,OCT,OCT,808,Guatemala,U.S. Border Patrol,FMUA,all
2022 (FYTD),2022 (FYTD),OCT,OCT,4134,Guatemala,U.S. Border Patrol,FMUA,all
2019,2019,SEP,SEP,2771,Guatemala,U.S. Border Patrol,FMUA,Title 8
2020,2020,SEP,SEP,24,Guatemala,U.S. Border Patrol,FMUA,Title 8
2021,2021,SEP,SEP,2139,Guatemala,U.S. Border Patrol,FMUA,Title 8
2019,2019,AUG,AUG,5329,Guatemala,U.S. Border Patrol,FMUA,Title 8
2020,2020,AUG,AUG,28,Guatemala,U.S. Border Patrol,FMUA,Title 8
2021,2021,AUG,AUG,10057,Guatemala,U.S. Border Patrol,FMUA,Title 8
2019,2019,JUL,JUL,10039,Guatemala,U.S. Border Patrol,FMUA,Title 8
2020,2020,JUL,JUL,11,Guatemala,U.S. Border Patrol,FMUA,Title 8
2021,2021,JUL,JUL,12550,Guatemala,U.S. Border Patrol,FMUA,Title 8
2019,2019,JUN,JUN,18036,Guatemala,U.S. Border Patrol,FMUA,Title 8
2020,2020,JUN,JUN,17,Guatemala,U.S. Border Patrol,FMUA,Title 8
2021,2021,JUN,JUN,5890,Guatemala,U.S. Border Patrol,FMUA,Title 8
2019,2019,MAY,MAY,34164,Guatemala,U.S. Border Patrol,FMUA,Title 8
2020,2020,MAY,MAY,2,Guatemala,U.S. Border Patrol,FMUA,Title 8
2021,2021,MAY,MAY,3023,Guatemala,U.S. Border Patrol,FMUA,Title 8
2019,2019,APR,APR,24336,Guatemala,U.S. Border Patrol,FMUA,Title 8
2021,2021,APR,APR,3588,Guatemala,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,294,Guatemala,U.S. Border Patrol,FMUA,Title 8
2019,2019,MAR,MAR,23904,Guatemala,U.S. Border Patrol,FMUA,Title 8
2020,2020,MAR,MAR,411,Guatemala,U.S. Border Patrol,FMUA,Title 8
2021,2021,MAR,MAR,4890,Guatemala,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,317,Guatemala,U.S. Border Patrol,FMUA,Title 8
2019,2019,FEB,FEB,16004,Guatemala,U.S. Border Patrol,FMUA,Title 8
2020,2020,FEB,FEB,899,Guatemala,U.S. Border Patrol,FMUA,Title 8
2021,2021,FEB,FEB,1385,Guatemala,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,313,Guatemala,U.S. Border Patrol,FMUA,Title 8
2019,2019,JAN,JAN,12221,Guatemala,U.S. Border Patrol,FMUA,Title 8
2020,2020,JAN,JAN,1036,Guatemala,U.S. Border Patrol,FMUA,Title 8
2021,2021,JAN,JAN,174,Guatemala,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,317,Guatemala,U.S. Border Patrol,FMUA,Title 8
2019,2019,DEC,DEC,14748,Guatemala,U.S. Border Patrol,FMUA,Title 8
2020,2020,DEC,DEC,2042,Guatemala,U.S. Border Patrol,FMUA,Title 8
2021,2021,DEC,DEC,18,Guatemala,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,1143,Guatemala,U.S. Border Patrol,FMUA,Title 8
2019,2019,NOV,NOV,12306,Guatemala,U.S. Border Patrol,FMUA,Title 8
2020,2020,NOV,NOV,2371,Guatemala,U.S. Border Patrol,FMUA,Title 8
2021,2021,NOV,NOV,10,Guatemala,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,738,Guatemala,U.S. Border Patrol,FMUA,Title 8
2019,2019,OCT,OCT,11375,Guatemala,U.S. Border Patrol,FMUA,Title 8
2020,2020,OCT,OCT,2526,Guatemala,U.S. Border Patrol,FMUA,Title 8
2021,2021,OCT,OCT,18,Guatemala,U.S. Border Patrol,FMUA,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,638,Guatemala,U.S. Border Patrol,FMUA,Title 8
2020,2020,SEP,SEP,481,Guatemala,U.S. Border Patrol,FMUA,Title 42
2021,2021,SEP,SEP,5062,Guatemala,U.S. Border Patrol,FMUA,Title 42
2020,2020,AUG,AUG,443,Guatemala,U.S. Border Patrol,FMUA,Title 42
2021,2021,AUG,AUG,7257,Guatemala,U.S. Border Patrol,FMUA,Title 42
2020,2020,JUL,JUL,211,Guatemala,U.S. Border Patrol,FMUA,Title 42
2021,2021,JUL,JUL,2933,Guatemala,U.S. Border Patrol,FMUA,Title 42
2020,2020,JUN,JUN,104,Guatemala,U.S. Border Patrol,FMUA,Title 42
2021,2021,JUN,JUN,1972,Guatemala,U.S. Border Patrol,FMUA,Title 42
2020,2020,MAY,MAY,92,Guatemala,U.S. Border Patrol,FMUA,Title 42
2021,2021,MAY,MAY,2011,Guatemala,U.S. Border Patrol,FMUA,Title 42
2020,2020,APR,APR,79,Guatemala,U.S. Border Patrol,FMUA,Title 42
2021,2021,APR,APR,4773,Guatemala,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),APR,APR,1550,Guatemala,U.S. Border Patrol,FMUA,Title 42
2020,2020,MAR,MAR,128,Guatemala,U.S. Border Patrol,FMUA,Title 42
2021,2021,MAR,MAR,6790,Guatemala,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),MAR,MAR,1976,Guatemala,U.S. Border Patrol,FMUA,Title 42
2021,2021,FEB,FEB,2408,Guatemala,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),FEB,FEB,1844,Guatemala,U.S. Border Patrol,FMUA,Title 42
2021,2021,JAN,JAN,798,Guatemala,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),JAN,JAN,1319,Guatemala,U.S. Border Patrol,FMUA,Title 42
2021,2021,DEC,DEC,736,Guatemala,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),DEC,DEC,1978,Guatemala,U.S. Border Patrol,FMUA,Title 42
2021,2021,NOV,NOV,878,Guatemala,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),NOV,NOV,2851,Guatemala,U.S. Border Patrol,FMUA,Title 42
2021,2021,OCT,OCT,790,Guatemala,U.S. Border Patrol,FMUA,Title 42
2022 (FYTD),2022 (FYTD),OCT,OCT,3496,Guatemala,U.S. Border Patrol,FMUA,Title 42
2019,2019,SEP,SEP,2042,Guatemala,U.S. Border Patrol,Single Adults,all
2020,2020,SEP,SEP,4521,Guatemala,U.S. Border Patrol,Single Adults,all
2021,2021,SEP,SEP,11006,Guatemala,U.S. Border Patrol,Single Adults,all
2019,2019,AUG,AUG,2392,Guatemala,U.S. Border Patrol,Single Adults,all
2020,2020,AUG,AUG,3060,Guatemala,U.S. Border Patrol,Single Adults,all
2021,2021,AUG,AUG,10648,Guatemala,U.S. Border Patrol,Single Adults,all
2019,2019,JUL,JUL,2797,Guatemala,U.S. Border Patrol,Single Adults,all
2020,2020,JUL,JUL,1809,Guatemala,U.S. Border Patrol,Single Adults,all
2021,2021,JUL,JUL,12191,Guatemala,U.S. Border Patrol,Single Adults,all
2019,2019,JUN,JUN,4051,Guatemala,U.S. Border Patrol,Single Adults,all
2020,2020,JUN,JUN,777,Guatemala,U.S. Border Patrol,Single Adults,all
2021,2021,JUN,JUN,15398,Guatemala,U.S. Border Patrol,Single Adults,all
2019,2019,MAY,MAY,6225,Guatemala,U.S. Border Patrol,Single Adults,all
2020,2020,MAY,MAY,561,Guatemala,U.S. Border Patrol,Single Adults,all
2021,2021,MAY,MAY,15579,Guatemala,U.S. Border Patrol,Single Adults,all
2019,2019,APR,APR,5234,Guatemala,U.S. Border Patrol,Single Adults,all
2020,2020,APR,APR,1165,Guatemala,U.S. Border Patrol,Single Adults,all
2021,2021,APR,APR,14820,Guatemala,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),APR,APR,12819,Guatemala,U.S. Border Patrol,Single Adults,all
2019,2019,MAR,MAR,5817,Guatemala,U.S. Border Patrol,Single Adults,all
2020,2020,MAR,MAR,2731,Guatemala,U.S. Border Patrol,Single Adults,all
2021,2021,MAR,MAR,13899,Guatemala,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),MAR,MAR,13466,Guatemala,U.S. Border Patrol,Single Adults,all
2019,2019,FEB,FEB,4552,Guatemala,U.S. Border Patrol,Single Adults,all
2020,2020,FEB,FEB,2810,Guatemala,U.S. Border Patrol,Single Adults,all
2021,2021,FEB,FEB,11355,Guatemala,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),FEB,FEB,11078,Guatemala,U.S. Border Patrol,Single Adults,all
2019,2019,JAN,JAN,3463,Guatemala,U.S. Border Patrol,Single Adults,all
2020,2020,JAN,JAN,2488,Guatemala,U.S. Border Patrol,Single Adults,all
2021,2021,JAN,JAN,10044,Guatemala,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),JAN,JAN,9052,Guatemala,U.S. Border Patrol,Single Adults,all
2019,2019,DEC,DEC,4044,Guatemala,U.S. Border Patrol,Single Adults,all
2020,2020,DEC,DEC,3147,Guatemala,U.S. Border Patrol,Single Adults,all
2021,2021,DEC,DEC,9988,Guatemala,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),DEC,DEC,12514,Guatemala,U.S. Border Patrol,Single Adults,all
2019,2019,NOV,NOV,4159,Guatemala,U.S. Border Patrol,Single Adults,all
2020,2020,NOV,NOV,2483,Guatemala,U.S. Border Patrol,Single Adults,all
2021,2021,NOV,NOV,8040,Guatemala,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),NOV,NOV,10800,Guatemala,U.S. Border Patrol,Single Adults,all
2019,2019,OCT,OCT,3830,Guatemala,U.S. Border Patrol,Single Adults,all
2020,2020,OCT,OCT,2396,Guatemala,U.S. Border Patrol,Single Adults,all
2021,2021,OCT,OCT,7344,Guatemala,U.S. Border Patrol,Single Adults,all
2022 (FYTD),2022 (FYTD),OCT,OCT,10113,Guatemala,U.S. Border Patrol,Single Adults,all
2019,2019,SEP,SEP,2042,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2020,2020,SEP,SEP,256,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2021,2021,SEP,SEP,403,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2019,2019,AUG,AUG,2392,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2020,2020,AUG,AUG,180,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2021,2021,AUG,AUG,396,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2019,2019,JUL,JUL,2797,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2020,2020,JUL,JUL,108,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2021,2021,JUL,JUL,420,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2019,2019,JUN,JUN,4051,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2020,2020,JUN,JUN,41,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2021,2021,JUN,JUN,449,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2019,2019,MAY,MAY,6225,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2020,2020,MAY,MAY,54,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2021,2021,MAY,MAY,393,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2019,2019,APR,APR,5234,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2020,2020,APR,APR,42,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2021,2021,APR,APR,405,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,2238,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2019,2019,MAR,MAR,5817,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2020,2020,MAR,MAR,1951,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2021,2021,MAR,MAR,408,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,432,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2019,2019,FEB,FEB,4552,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2020,2020,FEB,FEB,2810,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2021,2021,FEB,FEB,345,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,347,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2019,2019,JAN,JAN,3463,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2020,2020,JAN,JAN,2488,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2021,2021,JAN,JAN,294,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,246,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2019,2019,DEC,DEC,4044,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2020,2020,DEC,DEC,3147,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2021,2021,DEC,DEC,286,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,360,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2019,2019,NOV,NOV,4159,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2020,2020,NOV,NOV,2483,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2021,2021,NOV,NOV,243,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,361,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2019,2019,OCT,OCT,3830,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2020,2020,OCT,OCT,2396,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2021,2021,OCT,OCT,288,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,328,Guatemala,U.S. Border Patrol,Single Adults,Title 8
2020,2020,SEP,SEP,4265,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2021,2021,SEP,SEP,10603,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2020,2020,AUG,AUG,2880,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2021,2021,AUG,AUG,10252,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2020,2020,JUL,JUL,1701,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2021,2021,JUL,JUL,11771,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2020,2020,JUN,JUN,736,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2021,2021,JUN,JUN,14949,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2020,2020,MAY,MAY,507,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2021,2021,MAY,MAY,15186,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2020,2020,APR,APR,1123,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2021,2021,APR,APR,14415,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),APR,APR,10581,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2020,2020,MAR,MAR,780,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2021,2021,MAR,MAR,13491,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),MAR,MAR,13034,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2021,2021,FEB,FEB,11010,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),FEB,FEB,10731,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2021,2021,JAN,JAN,9750,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),JAN,JAN,8806,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2021,2021,DEC,DEC,9702,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),DEC,DEC,12154,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2021,2021,NOV,NOV,7797,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),NOV,NOV,10439,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2021,2021,OCT,OCT,7056,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2022 (FYTD),2022 (FYTD),OCT,OCT,9785,Guatemala,U.S. Border Patrol,Single Adults,Title 42
2019,2019,SEP,SEP,734,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2020,2020,SEP,SEP,852,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2021,2021,SEP,SEP,5955,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2019,2019,AUG,AUG,913,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2020,2020,AUG,AUG,575,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2021,2021,AUG,AUG,8254,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2019,2019,JUL,JUL,1540,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2020,2020,JUL,JUL,318,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2021,2021,JUL,JUL,8000,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2019,2019,JUN,JUN,2544,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2020,2020,JUN,JUN,99,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2021,2021,JUN,JUN,6163,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2019,2019,MAY,MAY,4631,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2020,2020,MAY,MAY,47,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2021,2021,MAY,MAY,5233,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2019,2019,APR,APR,3597,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2020,2020,APR,APR,96,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2021,2021,APR,APR,6601,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),APR,APR,4719,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2019,2019,MAR,MAR,3818,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2020,2020,MAR,MAR,999,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2021,2021,MAR,MAR,8342,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),MAR,MAR,5477,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2019,2019,FEB,FEB,3059,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2020,2020,FEB,FEB,1093,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2021,2021,FEB,FEB,3881,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),FEB,FEB,4842,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2019,2019,JAN,JAN,2419,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2020,2020,JAN,JAN,963,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2021,2021,JAN,JAN,2066,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),JAN,JAN,3058,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2019,2019,DEC,DEC,2492,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2020,2020,DEC,DEC,1207,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2021,2021,DEC,DEC,1652,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),DEC,DEC,5272,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2019,2019,NOV,NOV,2466,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2020,2020,NOV,NOV,1275,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2021,2021,NOV,NOV,1351,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),NOV,NOV,5990,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2019,2019,OCT,OCT,2116,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2020,2020,OCT,OCT,866,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2021,2021,OCT,OCT,1073,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2022 (FYTD),2022 (FYTD),OCT,OCT,5051,Guatemala,U.S. Border Patrol,UC / Single Minors,all
2019,2019,SEP,SEP,734,Guatemala,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,SEP,SEP,513,Guatemala,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,SEP,SEP,5955,Guatemala,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,AUG,AUG,913,Guatemala,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,AUG,AUG,159,Guatemala,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,AUG,AUG,8253,Guatemala,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,JUL,JUL,1540,Guatemala,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,JUL,JUL,50,Guatemala,U.S. Border Patrol,UC / Single Minors,Title 8
2021,2021,JUL,JUL,8000,Guatemala,U.S. Border Patrol,UC / Single Minors,Title 8
2019,2019,JUN,JUN,2544,Guatemala,U.S. Border Patrol,UC / Single Minors,Title 8
2020,2020,JUN,JUN,5,Guatemala,U.S. Border Patrol,UC / Single Minors,Title 8
