Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2020,2020,DEC,DEC,61,all,all,Accompanied Minors,all
2021,2021,DEC,DEC,87,all,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),DEC,DEC,304,all,all,Accompanied Minors,all
2019,2019,NOV,NOV,70,all,all,Accompanied Minors,all
2020,2020,NOV,NOV,53,all,all,Accompanied Minors,all
2021,2021,NOV,NOV,89,all,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),NOV,NOV,303,all,all,Accompanied Minors,all
2019,2019,OCT,OCT,86,all,all,Accompanied Minors,all
2020,2020,OCT,OCT,102,all,all,Accompanied Minors,all
2021,2021,OCT,OCT,112,all,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),OCT,OCT,187,all,all,Accompanied Minors,all
2019,2019,SEP,SEP,74,all,all,Accompanied Minors,Title 8
2020,2020,SEP,SEP,7,all,all,Accompanied Minors,Title 8
2021,2021,SEP,SEP,63,all,all,Accompanied Minors,Title 8
2019,2019,AUG,AUG,86,all,all,Accompanied Minors,Title 8
2020,2020,AUG,AUG,20,all,all,Accompanied Minors,Title 8
2021,2021,AUG,AUG,146,all,all,Accompanied Minors,Title 8
2019,2019,JUL,JUL,87,all,all,Accompanied Minors,Title 8
2020,2020,JUL,JUL,7,all,all,Accompanied Minors,Title 8
2021,2021,JUL,JUL,28,all,all,Accompanied Minors,Title 8
2019,2019,JUN,JUN,68,all,all,Accompanied Minors,Title 8
2020,2020,JUN,JUN,6,all,all,Accompanied Minors,Title 8
2021,2021,JUN,JUN,41,all,all,Accompanied Minors,Title 8
2019,2019,MAY,MAY,70,all,all,Accompanied Minors,Title 8
2020,2020,MAY,MAY,7,all,all,Accompanied Minors,Title 8
2021,2021,MAY,MAY,40,all,all,Accompanied Minors,Title 8
2019,2019,APR,APR,92,all,all,Accompanied Minors,Title 8
2020,2020,APR,APR,4,all,all,Accompanied Minors,Title 8
2021,2021,APR,APR,42,all,all,Accompanied Minors,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,75,all,all,Accompanied Minors,Title 8
2019,2019,MAR,MAR,91,all,all,Accompanied Minors,Title 8
2020,2020,MAR,MAR,39,all,all,Accompanied Minors,Title 8
2021,2021,MAR,MAR,62,all,all,Accompanied Minors,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,49,all,all,Accompanied Minors,Title 8
2019,2019,FEB,FEB,76,all,all,Accompanied Minors,Title 8
2020,2020,FEB,FEB,38,all,all,Accompanied Minors,Title 8
2021,2021,FEB,FEB,55,all,all,Accompanied Minors,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,44,all,all,Accompanied Minors,Title 8
2019,2019,JAN,JAN,70,all,all,Accompanied Minors,Title 8
2020,2020,JAN,JAN,33,all,all,Accompanied Minors,Title 8
2021,2021,JAN,JAN,19,all,all,Accompanied Minors,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,64,all,all,Accompanied Minors,Title 8
2019,2019,DEC,DEC,81,all,all,Accompanied Minors,Title 8
2020,2020,DEC,DEC,61,all,all,Accompanied Minors,Title 8
2021,2021,DEC,DEC,23,all,all,Accompanied Minors,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,73,all,all,Accompanied Minors,Title 8
2019,2019,NOV,NOV,70,all,all,Accompanied Minors,Title 8
2020,2020,NOV,NOV,53,all,all,Accompanied Minors,Title 8
2021,2021,NOV,NOV,7,all,all,Accompanied Minors,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,80,all,all,Accompanied Minors,Title 8
2019,2019,OCT,OCT,86,all,all,Accompanied Minors,Title 8
2020,2020,OCT,OCT,102,all,all,Accompanied Minors,Title 8
2021,2021,OCT,OCT,11,all,all,Accompanied Minors,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,68,all,all,Accompanied Minors,Title 8
2020,2020,SEP,SEP,80,all,all,Accompanied Minors,Title 42
2021,2021,SEP,SEP,162,all,all,Accompanied Minors,Title 42
2020,2020,AUG,AUG,81,all,all,Accompanied Minors,Title 42
2021,2021,AUG,AUG,277,all,all,Accompanied Minors,Title 42
2020,2020,JUL,JUL,61,all,all,Accompanied Minors,Title 42
2021,2021,JUL,JUL,277,all,all,Accompanied Minors,Title 42
2020,2020,JUN,JUN,50,all,all,Accompanied Minors,Title 42
2021,2021,JUN,JUN,128,all,all,Accompanied Minors,Title 42
2020,2020,MAY,MAY,23,all,all,Accompanied Minors,Title 42
2021,2021,MAY,MAY,115,all,all,Accompanied Minors,Title 42
2020,2020,APR,APR,14,all,all,Accompanied Minors,Title 42
2021,2021,APR,APR,92,all,all,Accompanied Minors,Title 42
2022 (FYTD),2022 (FYTD),APR,APR,205,all,all,Accompanied Minors,Title 42
2020,2020,MAR,MAR,1,all,all,Accompanied Minors,Title 42
2021,2021,MAR,MAR,97,all,all,Accompanied Minors,Title 42
2022 (FYTD),2022 (FYTD),MAR,MAR,207,all,all,Accompanied Minors,Title 42
2021,2021,FEB,FEB,90,all,all,Accompanied Minors,Title 42
2022 (FYTD),2022 (FYTD),FEB,FEB,185,all,all,Accompanied Minors,Title 42
2021,2021,JAN,JAN,86,all,all,Accompanied Minors,Title 42
2022 (FYTD),2022 (FYTD),JAN,JAN,174,all,all,Accompanied Minors,Title 42
2021,2021,DEC,DEC,64,all,all,Accompanied Minors,Title 42
2022 (FYTD),2022 (FYTD),DEC,DEC,231,all,all,Accompanied Minors,Title 42
2021,2021,NOV,NOV,82,all,all,Accompanied Minors,Title 42
2022 (FYTD),2022 (FYTD),NOV,NOV,223,all,all,Accompanied Minors,Title 42
2021,2021,OCT,OCT,101,all,all,Accompanied Minors,Title 42
2022 (FYTD),2022 (FYTD),OCT,OCT,119,all,all,Accompanied Minors,Title 42
2019,2019,SEP,SEP,22010,all,all,FMUA,all
2020,2020,SEP,SEP,3894,all,all,FMUA,all
2021,2021,SEP,SEP,64388,all,all,FMUA,all
2019,2019,AUG,AUG,30529,all,all,FMUA,all
2020,2020,AUG,AUG,2715,all,all,FMUA,all
2021,2021,AUG,AUG,86631,all,all,FMUA,all
2019,2019,JUL,JUL,46791,all,all,FMUA,all
2020,2020,JUL,JUL,2050,all,all,FMUA,all
2021,2021,JUL,JUL,83499,all,all,FMUA,all
2019,2019,JUN,JUN,60962,all,all,FMUA,all
2020,2020,JUN,JUN,1679,all,all,FMUA,all
2021,2021,JUN,JUN,55896,all,all,FMUA,all
2019,2019,MAY,MAY,88587,all,all,FMUA,all
2020,2020,MAY,MAY,1052,all,all,FMUA,all
2021,2021,MAY,MAY,44747,all,all,FMUA,all
2019,2019,APR,APR,62313,all,all,FMUA,all
2020,2020,APR,APR,738,all,all,FMUA,all
2021,2021,APR,APR,50094,all,all,FMUA,all
2022 (FYTD),2022 (FYTD),APR,APR,54773,all,all,FMUA,all
2019,2019,MAR,MAR,57419,all,all,FMUA,all
2020,2020,MAR,MAR,4635,all,all,FMUA,all
2021,2021,MAR,MAR,54132,all,all,FMUA,all
