Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,APR,APR,"11,857",UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAR,MAR,"13,892",UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,"11,778",UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,"8,607",UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,DEC,DEC,"11,703",UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,"13,743",UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,"12,616",UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,"328,622",FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,AUG,AUG,"33,105",FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUL,JUL,"33,187",FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUN,JUN,"29,808",FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAY,MAY,"40,477",FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,APR,APR,"29,491",FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAR,MAR,"26,126",FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,"17,151",FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,"21,936",FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,"37,531",FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,"31,659",FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,"28,151",FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,"554,056",Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,AUG,AUG,"65,924",Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUL,JUL,"61,355",Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUN,JUN,"54,974",Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAY,MAY,"65,991",Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,APR,APR,"64,022",Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAR,MAR,"61,572",Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,"39,413",Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,"39,860",Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,"41,525",Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,"33,761",Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,"25,659",Single Adults,all,Title 8
%all%,%all%,%all%,%all%,%all%,%all%,"1,149,449",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,AUG,AUG,"130,445",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,JUL,JUL,"124,021",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,JUN,JUN,"113,331",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,MAY,MAY,"135,477",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,APR,APR,"135,404",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,MAR,MAR,"110,582",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,FEB,FEB,"72,911",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,JAN,JAN,"75,209",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,DEC,DEC,"97,099",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,NOV,NOV,"84,656",%many-values%,all,Title 8
%all%,%all%,%all%,%all%,OCT,OCT,"70,314",%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,"23,654",%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,AUG,AUG,"2,030",%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,"1,957",%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,"1,893",%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,"2,177",%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,"2,250",%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,"2,401",%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,"2,271",%many-values%,all,Title 42
